INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'densenet161', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/densenet161', 'checkpoint_path': './checkpoints/domainnet/real/densenet161', 'checkpoint_save_step': 5, 'log_path': './log/densenet161/domainnet/real/log1.log', 'end_epoch': 300}
INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'densenet161', 'domain_label': 'real', 'lr': 0.005, 'lr_factor': 0.2, 'bs': 8, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/densenet161', 'checkpoint_path': './checkpoints/domainnet/real/densenet161', 'checkpoint_save_step': 5, 'log_path': './log/densenet161/domainnet/real/log1.log', 'end_epoch': 300}
INFO:root:Test set: LR: 0.00500000,  Average loss: 0.7955, Accuracy: 0.1761
INFO:root:Test set: LR: 0.00499986,  Average loss: 0.3887, Accuracy: 0.1891
INFO:root:Test set: LR: 0.00499945,  Average loss: 0.4032, Accuracy: 0.2178
INFO:root:Test set: LR: 0.00499877,  Average loss: 0.7009, Accuracy: 0.2163
INFO:root:Test set: LR: 0.00499781,  Average loss: 0.3720, Accuracy: 0.2907
INFO:root:Test set: LR: 0.00499657,  Average loss: 0.3493, Accuracy: 0.2954
INFO:root:Test set: LR: 0.00499507,  Average loss: 0.3450, Accuracy: 0.3325
INFO:root:Test set: LR: 0.00499329,  Average loss: 0.3262, Accuracy: 0.3561
INFO:root:Test set: LR: 0.00499123,  Average loss: 0.3066, Accuracy: 0.3810
INFO:root:Test set: LR: 0.00498890,  Average loss: 0.2895, Accuracy: 0.4013
INFO:root:Test set: LR: 0.00498630,  Average loss: 0.3174, Accuracy: 0.4178
INFO:root:Test set: LR: 0.00498343,  Average loss: 0.2869, Accuracy: 0.4550
INFO:root:Test set: LR: 0.00498029,  Average loss: 0.3281, Accuracy: 0.4465
INFO:root:Test set: LR: 0.00497687,  Average loss: 0.2514, Accuracy: 0.4919
INFO:root:Test set: LR: 0.00497318,  Average loss: 0.2911, Accuracy: 0.5081
INFO:root:Test set: LR: 0.00496922,  Average loss: 0.2359, Accuracy: 0.5117
INFO:root:Test set: LR: 0.00496499,  Average loss: 0.2552, Accuracy: 0.5204
INFO:root:Test set: LR: 0.00496049,  Average loss: 0.2145, Accuracy: 0.5478
INFO:root:Test set: LR: 0.00495572,  Average loss: 0.2012, Accuracy: 0.5735
INFO:root:Test set: LR: 0.00495068,  Average loss: 0.1896, Accuracy: 0.5850
INFO:root:Test set: LR: 0.00494537,  Average loss: 0.2386, Accuracy: 0.5730
INFO:root:Test set: LR: 0.00493979,  Average loss: 0.2296, Accuracy: 0.5797
INFO:root:Test set: LR: 0.00493395,  Average loss: 0.1802, Accuracy: 0.6331
INFO:root:Test set: LR: 0.00492784,  Average loss: 0.1844, Accuracy: 0.6035
