INFO:root:Description: 迁移学习日志，参数如下
INFO:root:{'source_dataset': 'imagenet', 'target_dataset': 'caltech256', 'domain_label': 'real', 'arch': 'densenet161', 'model_path': '', 'resume': False, 'weight_decay': 0.0005, 'lr': 0.01, 'lr_factor': 0.2, 'bs': 32, 'momentum': 0.9, 'lr_step': 10, 'tensorboard_path': './runs/imagenet_caltech256/densenet161', 'checkpoint_path': './checkpoints/imagenet_caltech256/densenet161', 'checkpoint_save_step': 5, 'log_path': './log/densenet161/imagenet_caltech256/log1.log', 'end_epoch': 180}
INFO:root:Test set: LR: 0.01000000,  Average loss: 0.0784, Accuracy: 0.4667
INFO:root:Test set: LR: 0.00999924,  Average loss: 0.0644, Accuracy: 0.5447
INFO:root:Test set: LR: 0.00999695,  Average loss: 0.0614, Accuracy: 0.5661
INFO:root:Test set: LR: 0.00999315,  Average loss: 0.0551, Accuracy: 0.6111
INFO:root:Test set: LR: 0.00998782,  Average loss: 0.0498, Accuracy: 0.6382
INFO:root:Test set: LR: 0.00998097,  Average loss: 0.0519, Accuracy: 0.6319
INFO:root:Test set: LR: 0.00997261,  Average loss: 0.0473, Accuracy: 0.6470
INFO:root:Test set: LR: 0.00996273,  Average loss: 0.0488, Accuracy: 0.6513
INFO:root:Test set: LR: 0.00995134,  Average loss: 0.0475, Accuracy: 0.6595
INFO:root:Test set: LR: 0.00993844,  Average loss: 0.0445, Accuracy: 0.6729
INFO:root:Test set: LR: 0.00992404,  Average loss: 0.0483, Accuracy: 0.6495
INFO:root:Test set: LR: 0.00990814,  Average loss: 0.0446, Accuracy: 0.6726
INFO:root:Test set: LR: 0.00989074,  Average loss: 0.0442, Accuracy: 0.6811
INFO:root:Test set: LR: 0.00987185,  Average loss: 0.0433, Accuracy: 0.6824
INFO:root:Test set: LR: 0.00985148,  Average loss: 0.0438, Accuracy: 0.6791
INFO:root:Test set: LR: 0.00982963,  Average loss: 0.0454, Accuracy: 0.6723
INFO:root:Test set: LR: 0.00980631,  Average loss: 0.0435, Accuracy: 0.6862
INFO:root:Test set: LR: 0.00978152,  Average loss: 0.0459, Accuracy: 0.6651
INFO:root:Test set: LR: 0.00975528,  Average loss: 0.0432, Accuracy: 0.6933
INFO:root:Test set: LR: 0.00972759,  Average loss: 0.0449, Accuracy: 0.6753
INFO:root:Test set: LR: 0.00969846,  Average loss: 0.0442, Accuracy: 0.6788
INFO:root:Test set: LR: 0.00966790,  Average loss: 0.0440, Accuracy: 0.6794
INFO:root:Test set: LR: 0.00963592,  Average loss: 0.0452, Accuracy: 0.6753
INFO:root:Test set: LR: 0.00960252,  Average loss: 0.0447, Accuracy: 0.6768
INFO:root:Test set: LR: 0.00956773,  Average loss: 0.0444, Accuracy: 0.6816
INFO:root:Test set: LR: 0.00953154,  Average loss: 0.0440, Accuracy: 0.6834
INFO:root:Test set: LR: 0.00949397,  Average loss: 0.0464, Accuracy: 0.6725
INFO:root:Test set: LR: 0.00945503,  Average loss: 0.0456, Accuracy: 0.6743
INFO:root:Test set: LR: 0.00941474,  Average loss: 0.0449, Accuracy: 0.6814
INFO:root:Test set: LR: 0.00937310,  Average loss: 0.0435, Accuracy: 0.6864
INFO:root:Test set: LR: 0.00933013,  Average loss: 0.0445, Accuracy: 0.6844
INFO:root:Test set: LR: 0.00928584,  Average loss: 0.0458, Accuracy: 0.6782
INFO:root:Test set: LR: 0.00924024,  Average loss: 0.0435, Accuracy: 0.6882
INFO:root:Test set: LR: 0.00919335,  Average loss: 0.0458, Accuracy: 0.6717
INFO:root:Test set: LR: 0.00914519,  Average loss: 0.0450, Accuracy: 0.6827
INFO:root:Test set: LR: 0.00909576,  Average loss: 0.0443, Accuracy: 0.6845
INFO:root:Test set: LR: 0.00904508,  Average loss: 0.0435, Accuracy: 0.6929
INFO:root:Test set: LR: 0.00899318,  Average loss: 0.0459, Accuracy: 0.6817
INFO:root:Test set: LR: 0.00894005,  Average loss: 0.0443, Accuracy: 0.6844
INFO:root:Test set: LR: 0.00888573,  Average loss: 0.0460, Accuracy: 0.6723
INFO:root:Test set: LR: 0.00883022,  Average loss: 0.0453, Accuracy: 0.6774
INFO:root:Test set: LR: 0.00877355,  Average loss: 0.0470, Accuracy: 0.6749
INFO:root:Test set: LR: 0.00871572,  Average loss: 0.0437, Accuracy: 0.6861
INFO:root:Test set: LR: 0.00865677,  Average loss: 0.0451, Accuracy: 0.6850
INFO:root:Test set: LR: 0.00859670,  Average loss: 0.0465, Accuracy: 0.6799
INFO:root:Test set: LR: 0.00853553,  Average loss: 0.0458, Accuracy: 0.6836
INFO:root:Test set: LR: 0.00847329,  Average loss: 0.0439, Accuracy: 0.6908
INFO:root:Test set: LR: 0.00840999,  Average loss: 0.0461, Accuracy: 0.6714
INFO:root:Test set: LR: 0.00834565,  Average loss: 0.0474, Accuracy: 0.6648
INFO:root:Test set: LR: 0.00828030,  Average loss: 0.0452, Accuracy: 0.6820
INFO:root:Test set: LR: 0.00821394,  Average loss: 0.0443, Accuracy: 0.6870
INFO:root:Test set: LR: 0.00821394,  Average loss: 0.0456, Accuracy: 0.6862
INFO:root:Test set: LR: 0.00814660,  Average loss: 0.0467, Accuracy: 0.6739
INFO:root:Test set: LR: 0.00807831,  Average loss: 0.0468, Accuracy: 0.6783
INFO:root:Test set: LR: 0.00800908,  Average loss: 0.0438, Accuracy: 0.6929
INFO:root:Test set: LR: 0.00800908,  Average loss: 0.0445, Accuracy: 0.6868
INFO:root:Test set: LR: 0.00793893,  Average loss: 0.0466, Accuracy: 0.6709
INFO:root:Test set: LR: 0.00786788,  Average loss: 0.0468, Accuracy: 0.6834
INFO:root:Test set: LR: 0.00779596,  Average loss: 0.0449, Accuracy: 0.6864
INFO:root:Test set: LR: 0.00772320,  Average loss: 0.0463, Accuracy: 0.6817
INFO:root:Test set: LR: 0.00764960,  Average loss: 0.0445, Accuracy: 0.6868
INFO:root:Test set: LR: 0.00757519,  Average loss: 0.0454, Accuracy: 0.6799
INFO:root:Test set: LR: 0.00750000,  Average loss: 0.0464, Accuracy: 0.6851
INFO:root:Test set: LR: 0.00742405,  Average loss: 0.0464, Accuracy: 0.6790
INFO:root:Test set: LR: 0.00734736,  Average loss: 0.0453, Accuracy: 0.6805
INFO:root:Test set: LR: 0.00726995,  Average loss: 0.0465, Accuracy: 0.6714
INFO:root:Test set: LR: 0.00719186,  Average loss: 0.0454, Accuracy: 0.6851
INFO:root:Test set: LR: 0.00711309,  Average loss: 0.0444, Accuracy: 0.6936
INFO:root:Test set: LR: 0.00711309,  Average loss: 0.0464, Accuracy: 0.6797
INFO:root:Test set: LR: 0.00703368,  Average loss: 0.0455, Accuracy: 0.6811
INFO:root:Test set: LR: 0.00695366,  Average loss: 0.0476, Accuracy: 0.6739
INFO:root:Test set: LR: 0.00687303,  Average loss: 0.0440, Accuracy: 0.6902
INFO:root:Test set: LR: 0.00679184,  Average loss: 0.0451, Accuracy: 0.6847
INFO:root:Test set: LR: 0.00671010,  Average loss: 0.0461, Accuracy: 0.6861
INFO:root:Test set: LR: 0.00662784,  Average loss: 0.0454, Accuracy: 0.6876
INFO:root:Test set: LR: 0.00654508,  Average loss: 0.0470, Accuracy: 0.6777
INFO:root:Test set: LR: 0.00646186,  Average loss: 0.0466, Accuracy: 0.6811
INFO:root:Test set: LR: 0.00637819,  Average loss: 0.0456, Accuracy: 0.6833
INFO:root:Test set: LR: 0.00629410,  Average loss: 0.0453, Accuracy: 0.6882
