INFO:root:Description: 迁移学习日志，参数如下
INFO:root:{'source_dataset': 'imagenet', 'target_dataset': 'food101', 'domain_label': 'real', 'arch': 'densenet161', 'model_path': '', 'resume': False, 'weight_decay': 0.0005, 'lr': 0.01, 'lr_factor': 0.2, 'bs': 32, 'momentum': 0.9, 'lr_step': 10, 'tensorboard_path': './runs/imagenet_food101/densenet161', 'checkpoint_path': './checkpoints/imagenet_food101/densenet161', 'checkpoint_save_step': 5, 'log_path': './log/densenet161/imagenet_food101/log1.log', 'end_epoch': 300}
INFO:root:Test set: LR: 0.01000000,  Average loss: 0.0612, Accuracy: 0.5045
INFO:root:Test set: LR: 0.00999973,  Average loss: 0.0562, Accuracy: 0.5335
INFO:root:Test set: LR: 0.00999890,  Average loss: 0.0509, Accuracy: 0.5786
INFO:root:Test set: LR: 0.00999753,  Average loss: 0.0494, Accuracy: 0.5933
INFO:root:Test set: LR: 0.00999561,  Average loss: 0.0437, Accuracy: 0.6322
INFO:root:Test set: LR: 0.00999315,  Average loss: 0.0454, Accuracy: 0.6204
INFO:root:Test set: LR: 0.00999013,  Average loss: 0.0433, Accuracy: 0.6336
INFO:root:Test set: LR: 0.00998657,  Average loss: 0.0411, Accuracy: 0.6503
INFO:root:Test set: LR: 0.00998246,  Average loss: 0.0421, Accuracy: 0.6434
INFO:root:Test set: LR: 0.00997781,  Average loss: 0.0416, Accuracy: 0.6451
INFO:root:Test set: LR: 0.00997261,  Average loss: 0.0404, Accuracy: 0.6550
INFO:root:Test set: LR: 0.00996686,  Average loss: 0.0412, Accuracy: 0.6556
INFO:root:Test set: LR: 0.00996057,  Average loss: 0.0393, Accuracy: 0.6639
INFO:root:Test set: LR: 0.00995374,  Average loss: 0.0400, Accuracy: 0.6607
INFO:root:Test set: LR: 0.00994636,  Average loss: 0.0387, Accuracy: 0.6723
INFO:root:Test set: LR: 0.00993844,  Average loss: 0.0405, Accuracy: 0.6543
INFO:root:Test set: LR: 0.00992998,  Average loss: 0.0382, Accuracy: 0.6720
INFO:root:Test set: LR: 0.00992098,  Average loss: 0.0421, Accuracy: 0.6396
INFO:root:Test set: LR: 0.00991144,  Average loss: 0.0406, Accuracy: 0.6582
INFO:root:Test set: LR: 0.00990136,  Average loss: 0.0407, Accuracy: 0.6558
INFO:root:Test set: LR: 0.00989074,  Average loss: 0.0405, Accuracy: 0.6586
INFO:root:Test set: LR: 0.00987958,  Average loss: 0.0416, Accuracy: 0.6480
INFO:root:Test set: LR: 0.00986789,  Average loss: 0.0391, Accuracy: 0.6640
INFO:root:Test set: LR: 0.00985567,  Average loss: 0.0392, Accuracy: 0.6675
INFO:root:Test set: LR: 0.00984292,  Average loss: 0.0397, Accuracy: 0.6642
INFO:root:Test set: LR: 0.00982963,  Average loss: 0.0396, Accuracy: 0.6654
INFO:root:Test set: LR: 0.00981581,  Average loss: 0.0414, Accuracy: 0.6482
INFO:root:Test set: LR: 0.00980147,  Average loss: 0.0426, Accuracy: 0.6376
INFO:root:Test set: LR: 0.00978660,  Average loss: 0.0408, Accuracy: 0.6563
INFO:root:Test set: LR: 0.00977120,  Average loss: 0.0395, Accuracy: 0.6629
INFO:root:Test set: LR: 0.00975528,  Average loss: 0.0401, Accuracy: 0.6588
INFO:root:Test set: LR: 0.00973884,  Average loss: 0.0390, Accuracy: 0.6714
INFO:root:Test set: LR: 0.00972188,  Average loss: 0.0401, Accuracy: 0.6618
INFO:root:Test set: LR: 0.00970440,  Average loss: 0.0390, Accuracy: 0.6669
INFO:root:Test set: LR: 0.00968641,  Average loss: 0.0396, Accuracy: 0.6671
INFO:root:Test set: LR: 0.00966790,  Average loss: 0.0391, Accuracy: 0.6655
INFO:root:Test set: LR: 0.00964888,  Average loss: 0.0401, Accuracy: 0.6638
INFO:root:Test set: LR: 0.00962935,  Average loss: 0.0378, Accuracy: 0.6760
INFO:root:Test set: LR: 0.00960932,  Average loss: 0.0395, Accuracy: 0.6666
INFO:root:Test set: LR: 0.00958877,  Average loss: 0.0375, Accuracy: 0.6788
INFO:root:Test set: LR: 0.00956773,  Average loss: 0.0385, Accuracy: 0.6734
INFO:root:Test set: LR: 0.00954618,  Average loss: 0.0392, Accuracy: 0.6666
INFO:root:Test set: LR: 0.00952414,  Average loss: 0.0394, Accuracy: 0.6659
INFO:root:Test set: LR: 0.00950159,  Average loss: 0.0384, Accuracy: 0.6754
INFO:root:Test set: LR: 0.00947856,  Average loss: 0.0379, Accuracy: 0.6783
INFO:root:Test set: LR: 0.00945503,  Average loss: 0.0417, Accuracy: 0.6521
INFO:root:Test set: LR: 0.00943102,  Average loss: 0.0393, Accuracy: 0.6682
INFO:root:Test set: LR: 0.00940652,  Average loss: 0.0413, Accuracy: 0.6546
INFO:root:Test set: LR: 0.00938153,  Average loss: 0.0389, Accuracy: 0.6683
INFO:root:Test set: LR: 0.00935607,  Average loss: 0.0371, Accuracy: 0.6826
INFO:root:Test set: LR: 0.00933013,  Average loss: 0.0369, Accuracy: 0.6874
INFO:root:Test set: LR: 0.00933013,  Average loss: 0.0384, Accuracy: 0.6773
INFO:root:Test set: LR: 0.00930371,  Average loss: 0.0366, Accuracy: 0.6945
INFO:root:Test set: LR: 0.00930371,  Average loss: 0.0380, Accuracy: 0.6764
INFO:root:Test set: LR: 0.00927682,  Average loss: 0.0383, Accuracy: 0.6731
INFO:root:Test set: LR: 0.00924946,  Average loss: 0.0395, Accuracy: 0.6648
INFO:root:Test set: LR: 0.00922164,  Average loss: 0.0387, Accuracy: 0.6722
INFO:root:Test set: LR: 0.00919335,  Average loss: 0.0364, Accuracy: 0.6864
INFO:root:Test set: LR: 0.00916461,  Average loss: 0.0377, Accuracy: 0.6794
INFO:root:Test set: LR: 0.00913540,  Average loss: 0.0381, Accuracy: 0.6798
INFO:root:Test set: LR: 0.00910575,  Average loss: 0.0371, Accuracy: 0.6835
INFO:root:Test set: LR: 0.00907564,  Average loss: 0.0369, Accuracy: 0.6848
INFO:root:Test set: LR: 0.00904508,  Average loss: 0.0381, Accuracy: 0.6744
INFO:root:Test set: LR: 0.00901409,  Average loss: 0.0371, Accuracy: 0.6849
INFO:root:Test set: LR: 0.00898265,  Average loss: 0.0386, Accuracy: 0.6707
INFO:root:Test set: LR: 0.00895078,  Average loss: 0.0362, Accuracy: 0.6903
INFO:root:Test set: LR: 0.00891847,  Average loss: 0.0351, Accuracy: 0.7018
INFO:root:Test set: LR: 0.00891847,  Average loss: 0.0375, Accuracy: 0.6790
INFO:root:Test set: LR: 0.00888573,  Average loss: 0.0375, Accuracy: 0.6839
INFO:root:Test set: LR: 0.00885257,  Average loss: 0.0361, Accuracy: 0.6959
INFO:root:Test set: LR: 0.00881898,  Average loss: 0.0394, Accuracy: 0.6651
INFO:root:Test set: LR: 0.00878498,  Average loss: 0.0355, Accuracy: 0.6944
INFO:root:Test set: LR: 0.00875056,  Average loss: 0.0368, Accuracy: 0.6863
INFO:root:Test set: LR: 0.00871572,  Average loss: 0.0374, Accuracy: 0.6799
INFO:root:Test set: LR: 0.00868049,  Average loss: 0.0370, Accuracy: 0.6847
INFO:root:Test set: LR: 0.00864484,  Average loss: 0.0370, Accuracy: 0.6857
INFO:root:Test set: LR: 0.00860880,  Average loss: 0.0383, Accuracy: 0.6742
INFO:root:Test set: LR: 0.00857236,  Average loss: 0.0380, Accuracy: 0.6770
INFO:root:Test set: LR: 0.00853553,  Average loss: 0.0357, Accuracy: 0.6981
INFO:root:Test set: LR: 0.00849832,  Average loss: 0.0371, Accuracy: 0.6831
INFO:root:Test set: LR: 0.00846072,  Average loss: 0.0352, Accuracy: 0.6990
INFO:root:Test set: LR: 0.00842274,  Average loss: 0.0375, Accuracy: 0.6824
INFO:root:Test set: LR: 0.00838438,  Average loss: 0.0392, Accuracy: 0.6697
INFO:root:Test set: LR: 0.00834565,  Average loss: 0.0396, Accuracy: 0.6662
INFO:root:Test set: LR: 0.00830656,  Average loss: 0.0387, Accuracy: 0.6731
INFO:root:Test set: LR: 0.00826710,  Average loss: 0.0385, Accuracy: 0.6713
Accuracy: 0.7022
INFO:root:Test set: LR: 0.00822729,  Average loss: 0.0383, Accuracy: 0.6764
INFO:root:Test set: LR: 0.00818712,  Average loss: 0.0364, Accuracy: 0.6916
INFO:root:Test set: LR: 0.00814660,  Average loss: 0.0374, Accuracy: 0.6827
INFO:root:Test set: LR: 0.00810574,  Average loss: 0.0352, Accuracy: 0.6976
INFO:root:Test set: LR: 0.00806454,  Average loss: 0.0364, Accuracy: 0.6912
INFO:root:Test set: LR: 0.00802300,  Average loss: 0.0358, Accuracy: 0.6946
INFO:root:Test set: LR: 0.00798112,  Average loss: 0.0346, Accuracy: 0.7056
INFO:root:Test set: LR: 0.00798112,  Average loss: 0.0358, Accuracy: 0.6942
INFO:root:Test set: LR: 0.00793893,  Average loss: 0.0348, Accuracy: 0.7032
INFO:root:Test set: LR: 0.00789641,  Average loss: 0.0336, Accuracy: 0.7121
INFO:root:Test set: LR: 0.00789641,  Average loss: 0.0386, Accuracy: 0.6741
INFO:root:Test set: LR: 0.00785357,  Average loss: 0.0360, Accuracy: 0.6939
INFO:root:Test set: LR: 0.00781042,  Average loss: 0.0378, Accuracy: 0.6845
INFO:root:Test set: LR: 0.00776696,  Average loss: 0.0353, Accuracy: 0.6991
INFO:root:Test set: LR: 0.00772320,  Average loss: 0.0358, Accuracy: 0.6923
INFO:root:Test set: LR: 0.00767913,  Average loss: 0.0373, Accuracy: 0.6824
INFO:root:Test set: LR: 0.00763478,  Average loss: 0.0354, Accuracy: 0.6977
INFO:root:Test set: LR: 0.00759014,  Average loss: 0.0356, Accuracy: 0.6953
INFO:root:Test set: LR: 0.00754521,  Average loss: 0.0397, Accuracy: 0.6648
INFO:root:Test set: LR: 0.00750000,  Average loss: 0.0351, Accuracy: 0.7010
INFO:root:Test set: LR: 0.00745452,  Average loss: 0.0347, Accuracy: 0.7044
INFO:root:Test set: LR: 0.00740877,  Average loss: 0.0348, Accuracy: 0.7051
INFO:root:Test set: LR: 0.00736275,  Average loss: 0.0363, Accuracy: 0.6922
INFO:root:Test set: LR: 0.00731648,  Average loss: 0.0343, Accuracy: 0.7086
INFO:root:Test set: LR: 0.00726995,  Average loss: 0.0324, Accuracy: 0.7204
INFO:root:Test set: LR: 0.00726995,  Average loss: 0.0367, Accuracy: 0.6872
INFO:root:Test set: LR: 0.00722318,  Average loss: 0.0357, Accuracy: 0.7022
INFO:root:Test set: LR: 0.00717616,  Average loss: 0.0352, Accuracy: 0.6999
0.0349, Accuracy: 0.7013
INFO:root:Test set: LR: 0.00679184,  Average loss: 0.0335, Accuracy: 0.7145
INFO:root:Test set: LR: 0.00679184,  Average loss: 0.0342, Accuracy: 0.7049
INFO:root:Test set: LR: 0.00674286,  Average loss: 0.0325, Accuracy: 0.7230
INFO:root:Test set: LR: 0.00674286,  Average loss: 0.0345, Accuracy: 0.7062
INFO:root:Test set: LR: 0.00669369,  Average loss: 0.0336, Accuracy: 0.7121
INFO:root:Test set: LR: 0.00664433,  Average loss: 0.0357, Accuracy: 0.6978
INFO:root:Test set: LR: 0.00659480,  Average loss: 0.0326, Accuracy: 0.7235
INFO:root:Test set: LR: 0.00693758,  Average loss: 0.0343, Accuracy: 0.7080
INFO:root:Test set: LR: 0.00688920,  Average loss: 0.0332, Accuracy: 0.7166
INFO:root:Test set: LR: 0.00684062,  Average loss: 0.0354, Accuracy: 0.7009
INFO:root:Test set: LR: 0.00679184,  Average loss: 0.0335, Accuracy: 0.7141
INFO:root:Test set: LR: 0.00674286,  Average loss: 0.0339, Accuracy: 0.7121
INFO:root:Test set: LR: 0.00669369,  Average loss: 0.0331, Accuracy: 0.7147
INFO:root:Test set: LR: 0.00664433,  Average loss: 0.0329, Accuracy: 0.7207
INFO:root:Test set: LR: 0.00664433,  Average loss: 0.0338, Accuracy: 0.7107
INFO:root:Test set: LR: 0.00659480,  Average loss: 0.0336, Accuracy: 0.7139
INFO:root:Test set: LR: 0.00654508,  Average loss: 0.0331, Accuracy: 0.7169
INFO:root:Test set: LR: 0.00649520,  Average loss: 0.0334, Accuracy: 0.7168
INFO:root:Test set: LR: 0.00644516,  Average loss: 0.0330, Accuracy: 0.7189
INFO:root:Test set: LR: 0.00639496,  Average loss: 0.0343, Accuracy: 0.7094
INFO:root:Test set: LR: 0.00634460,  Average loss: 0.0337, Accuracy: 0.7152
INFO:root:Test set: LR: 0.00629410,  Average loss: 0.0351, Accuracy: 0.7022
INFO:root:Test set: LR: 0.00624345,  Average loss: 0.0387, Accuracy: 0.6846
INFO:root:Test set: LR: 0.00619267,  Average loss: 0.0389, Accuracy: 0.6771
INFO:root:Test set: LR: 0.00614175,  Average loss: 0.0319, Accuracy: 0.7280
INFO:root:Test set: LR: 0.00614175,  Average loss: 0.0318, Accuracy: 0.7280
INFO:root:Test set: LR: 0.00609072,  Average loss: 0.0349, Accuracy: 0.7038
INFO:root:Test set: LR: 0.00603956,  Average loss: 0.0337, Accuracy: 0.7142
INFO:root:Test set: LR: 0.00598829,  Average loss: 0.0331, Accuracy: 0.7166
INFO:root:Test set: LR: 0.00593691,  Average loss: 0.0329, Accuracy: 0.7184
INFO:root:Test set: LR: 0.00588542,  Average loss: 0.0331, Accuracy: 0.7212
INFO:root:Test set: LR: 0.00583384,  Average loss: 0.0326, Accuracy: 0.7261
INFO:root:Test set: LR: 0.00578217,  Average loss: 0.0322, Accuracy: 0.7269
INFO:root:Test set: LR: 0.00573042,  Average loss: 0.0339, Accuracy: 0.7144
INFO:root:Test set: LR: 0.00567858,  Average loss: 0.0322, Accuracy: 0.7250
INFO:root:Test set: LR: 0.00562667,  Average loss: 0.0334, Accuracy: 0.7194
INFO:root:Test set: LR: 0.00557469,  Average loss: 0.0329, Accuracy: 0.7222
INFO:root:Test set: LR: 0.00552264,  Average loss: 0.0320, Accuracy: 0.7322
INFO:root:Test set: LR: 0.00552264,  Average loss: 0.0335, Accuracy: 0.7160
INFO:root:Test set: LR: 0.00547054,  Average loss: 0.0338, Accuracy: 0.7132
INFO:root:Test set: LR: 0.00541839,  Average loss: 0.0327, Accuracy: 0.7210
INFO:root:Test set: LR: 0.00536619,  Average loss: 0.0323, Accuracy: 0.7256
INFO:root:Test set: LR: 0.00531395,  Average loss: 0.0319, Accuracy: 0.7298
INFO:root:Test set: LR: 0.00526168,  Average loss: 0.0324, Accuracy: 0.7247
INFO:root:Test set: LR: 0.00520938,  Average loss: 0.0311, Accuracy: 0.7350
INFO:root:Test set: LR: 0.00520938,  Average loss: 0.0309, Accuracy: 0.7373
INFO:root:Test set: LR: 0.00520938,  Average loss: 0.0326, Accuracy: 0.7265
INFO:root:Test set: LR: 0.00515705,  Average loss: 0.0333, Accuracy: 0.7183
INFO:root:Test set: LR: 0.00510471,  Average loss: 0.0334, Accuracy: 0.7161
INFO:root:Test set: LR: 0.00505236,  Average loss: 0.0315, Accuracy: 0.7337
INFO:root:Test set: LR: 0.00500000,  Average loss: 0.0315, Accuracy: 0.7348
INFO:root:Test set: LR: 0.00494764,  Average loss: 0.0324, Accuracy: 0.7269
INFO:root:Test set: LR: 0.00489529,  Average loss: 0.0323, Accuracy: 0.7274
INFO:root:Test set: LR: 0.00484295,  Average loss: 0.0310, Accuracy: 0.7362
INFO:root:Test set: LR: 0.00479062,  Average loss: 0.0313, Accuracy: 0.7338
INFO:root:Test set: LR: 0.00473832,  Average loss: 0.0318, Accuracy: 0.7313
INFO:root:Test set: LR: 0.00468605,  Average loss: 0.0308, Accuracy: 0.7405
0.7501
INFO:root:Test set: LR: 0.00468605,  Average loss: 0.0323, Accuracy: 0.7275
INFO:root:Test set: LR: 0.00463381,  Average loss: 0.0315, Accuracy: 0.7303
INFO:root:Test set: LR: 0.00254548,  Average loss: 0.0297, Accuracy: 0.7580
INFO:root:Test set: LR: 0.00250000,  Average loss: 0.0302, Accuracy: 0.7568
INFO:root:Test set: LR: 0.00245479,  Average loss: 0.0306, Accuracy: 0.7541
INFO:root:Test set: LR: 0.00240986,  Average loss: 0.0296, Accuracy: 0.7585
INFO:root:Test set: LR: 0.00236522,  Average loss: 0.0293, Accuracy: 0.7610
INFO:root:Test set: LR: 0.00236522,  Average loss: 0.0301, Accuracy: 0.7530
INFO:root:Test set: LR: 0.00232087,  Average loss: 0.0293, Accuracy: 0.7617
INFO:root:Test set: LR: 0.00232087,  Average loss: 0.0297, Accuracy: 0.7572
INFO:root:Test set: LR: 0.00227680,  Average loss: 0.0295, Accuracy: 0.7540
INFO:root:Test set: LR: 0.00223304,  Average loss: 0.0300, Accuracy: 0.7562
INFO:root:Test set: LR: 0.00218958,  Average loss: 0.0298, Accuracy: 0.7577
INFO:root:Test set: LR: 0.00214643,  Average loss: 0.0297, Accuracy: 0.7581
INFO:root:Test set: LR: 0.00210359,  Average loss: 0.0302, Accuracy: 0.7583
INFO:root:Test set: LR: 0.00206107,  Average loss: 0.0300, Accuracy: 0.7572
INFO:root:Test set: LR: 0.00201888,  Average loss: 0.0294, Accuracy: 0.7636
INFO:root:Test set: LR: 0.00201888,  Average loss: 0.0294, Accuracy: 0.7640
INFO:root:Test set: LR: 0.00201888,  Average loss: 0.0299, Accuracy: 0.7611
INFO:root:Test set: LR: 0.00197700,  Average loss: 0.0294, Accuracy: 0.7631
INFO:root:Test set: LR: 0.00193546,  Average loss: 0.0294, Accuracy: 0.7637
INFO:root:Test set: LR: 0.00189426,  Average loss: 0.0300, Accuracy: 0.7578
INFO:root:Test set: LR: 0.00185340,  Average loss: 0.0298, Accuracy: 0.7624
INFO:root:Test set: LR: 0.00181288,  Average loss: 0.0296, Accuracy: 0.7634
INFO:root:Test set: LR: 0.00177271,  Average loss: 0.0294, Accuracy: 0.7655
INFO:root:Test set: LR: 0.00177271,  Average loss: 0.0295, Accuracy: 0.7669
INFO:root:Test set: LR: 0.00177271,  Average loss: 0.0296, Accuracy: 0.7654
INFO:root:Test set: LR: 0.00173290,  Average loss: 0.0296, Accuracy: 0.7661
INFO:root:Test set: LR: 0.00169344,  Average loss: 0.0295, Accuracy: 0.7666
INFO:root:Test set: LR: 0.00165435,  Average loss: 0.0297, Accuracy: 0.7638
INFO:root:Test set: LR: 0.00161562,  Average loss: 0.0295, Accuracy: 0.7646
INFO:root:Test set: LR: 0.00157726,  Average loss: 0.0290, Accuracy: 0.7655
INFO:root:Test set: LR: 0.00153928,  Average loss: 0.0293, Accuracy: 0.7715
INFO:root:Test set: LR: 0.00153928,  Average loss: 0.0289, Accuracy: 0.7707
INFO:root:Test set: LR: 0.00150168,  Average loss: 0.0304, Accuracy: 0.7594
INFO:root:Test set: LR: 0.00146447,  Average loss: 0.0299, Accuracy: 0.7673
INFO:root:Test set: LR: 0.00142764,  Average loss: 0.0291, Accuracy: 0.7735
INFO:root:Test set: LR: 0.00142764,  Average loss: 0.0296, Accuracy: 0.7667
INFO:root:Test set: LR: 0.00139120,  Average loss: 0.0296, Accuracy: 0.7666
INFO:root:Test set: LR: 0.00135516,  Average loss: 0.0290, Accuracy: 0.7750
INFO:root:Test set: LR: 0.00135516,  Average loss: 0.0295, Accuracy: 0.7700
INFO:root:Test set: LR: 0.00131951,  Average loss: 0.0301, Accuracy: 0.7638
INFO:root:Test set: LR: 0.00128428,  Average loss: 0.0291, Accuracy: 0.7681
INFO:root:Test set: LR: 0.00124944,  Average loss: 0.0295, Accuracy: 0.7697
INFO:root:Test set: LR: 0.00121502,  Average loss: 0.0284, Accuracy: 0.7750
INFO:root:Test set: LR: 0.00121502,  Average loss: 0.0284, Accuracy: 0.7741
INFO:root:Test set: LR: 0.00118102,  Average loss: 0.0285, Accuracy: 0.7775
INFO:root:Test set: LR: 0.00118102,  Average loss: 0.0285, Accuracy: 0.7789
INFO:root:Test set: LR: 0.00118102,  Average loss: 0.0296, Accuracy: 0.7667
INFO:root:Test set: LR: 0.00114743,  Average loss: 0.0289, Accuracy: 0.7737
INFO:root:Test set: LR: 0.00111427,  Average loss: 0.0285, Accuracy: 0.7766
INFO:root:Test set: LR: 0.00108153,  Average loss: 0.0299, Accuracy: 0.7692
INFO:root:Test set: LR: 0.00104922,  Average loss: 0.0295, Accuracy: 0.7703
INFO:root:Test set: LR: 0.00101735,  Average loss: 0.0288, Accuracy: 0.7737
INFO:root:Test set: LR: 0.00098591,  Average loss: 0.0287, Accuracy: 0.7784
INFO:root:Test set: LR: 0.00095492,  Average loss: 0.0295, Accuracy: 0.7702
INFO:root:Test set: LR: 0.00092436,  Average loss: 0.0283, Accuracy: 0.7818
INFO:root:Test set: LR: 0.00092436,  Average loss: 0.0287, Accuracy: 0.7806
INFO:root:Test set: LR: 0.00089425,  Average loss: 0.0282, Accuracy: 0.7819
INFO:root:Test set: LR: 0.00089425,  Average loss: 0.0282, Accuracy: 0.7813
INFO:root:Test set: LR: 0.00086460,  Average loss: 0.0281, Accuracy: 0.7773
INFO:root:Test set: LR: 0.00083539,  Average loss: 0.0283, Accuracy: 0.7787
INFO:root:Test set: LR: 0.00080665,  Average loss: 0.0285, Accuracy: 0.7785
INFO:root:Test set: LR: 0.00077836,  Average loss: 0.0283, Accuracy: 0.7781
INFO:root:Test set: LR: 0.00075054,  Average loss: 0.0277, Accuracy: 0.7853
INFO:root:Test set: LR: 0.00075054,  Average loss: 0.0283, Accuracy: 0.7783
