INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'mobilenet_v3_small', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/mobilenet_v3_small', 'checkpoint_path': './checkpoints/domainnet/real/mobilenet_v3_small', 'checkpoint_save_step': 5, 'log_path': './log/mobilenet_v3_small/domainnet/real/log1.log', 'end_epoch': 300}
INFO:root:Test set: LR: 0.01000000,  Average loss: 0.1879, Accuracy: 0.1827
INFO:root:Test set: LR: 0.00999973,  Average loss: 0.1746, Accuracy: 0.2545
INFO:root:Test set: LR: 0.00999890,  Average loss: 0.1629, Accuracy: 0.2712
INFO:root:Test set: LR: 0.00999753,  Average loss: 0.1533, Accuracy: 0.3433
INFO:root:Test set: LR: 0.00999561,  Average loss: 0.1460, Accuracy: 0.3742
INFO:root:Test set: LR: 0.00999315,  Average loss: 0.1363, Accuracy: 0.3973
INFO:root:Test set: LR: 0.00999013,  Average loss: 0.1321, Accuracy: 0.4313
INFO:root:Test set: LR: 0.00998657,  Average loss: 0.1346, Accuracy: 0.4190
INFO:root:Test set: LR: 0.00998246,  Average loss: 0.1262, Accuracy: 0.4503
INFO:root:Test set: LR: 0.00997781,  Average loss: 0.1292, Accuracy: 0.4262
INFO:root:Test set: LR: 0.00997261,  Average loss: 0.1211, Accuracy: 0.4714
INFO:root:Test set: LR: 0.00996686,  Average loss: 0.1264, Accuracy: 0.4413
INFO:root:Test set: LR: 0.00996057,  Average loss: 0.1135, Accuracy: 0.5109
INFO:root:Test set: LR: 0.00995374,  Average loss: 0.1157, Accuracy: 0.4871
INFO:root:Test set: LR: 0.00994636,  Average loss: 0.1120, Accuracy: 0.5140
INFO:root:Test set: LR: 0.00993844,  Average loss: 0.1091, Accuracy: 0.5150
INFO:root:Test set: LR: 0.00992998,  Average loss: 0.1144, Accuracy: 0.5024
INFO:root:Test set: LR: 0.00992098,  Average loss: 0.1086, Accuracy: 0.5212
INFO:root:Test set: LR: 0.00991144,  Average loss: 0.1065, Accuracy: 0.5353
INFO:root:Test set: LR: 0.00990136,  Average loss: 0.1116, Accuracy: 0.5096
INFO:root:Test set: LR: 0.00989074,  Average loss: 0.1060, Accuracy: 0.5369
INFO:root:Test set: LR: 0.00987958,  Average loss: 0.1085, Accuracy: 0.5306
INFO:root:Test set: LR: 0.00986789,  Average loss: 0.1084, Accuracy: 0.5191
INFO:root:Test set: LR: 0.00985567,  Average loss: 0.1031, Accuracy: 0.5407
INFO:root:Test set: LR: 0.00984292,  Average loss: 0.1049, Accuracy: 0.5458
INFO:root:Test set: LR: 0.00982963,  Average loss: 0.1059, Accuracy: 0.5299
INFO:root:Test set: LR: 0.00981581,  Average loss: 0.1067, Accuracy: 0.5363
INFO:root:Test set: LR: 0.00980147,  Average loss: 0.1049, Accuracy: 0.5337
INFO:root:Test set: LR: 0.00978660,  Average loss: 0.1040, Accuracy: 0.5394
INFO:root:Test set: LR: 0.00977120,  Average loss: 0.1049, Accuracy: 0.5374
INFO:root:Test set: LR: 0.00975528,  Average loss: 0.0990, Accuracy: 0.5623
INFO:root:Test set: LR: 0.00973884,  Average loss: 0.1029, Accuracy: 0.5461
INFO:root:Test set: LR: 0.00972188,  Average loss: 0.0980, Accuracy: 0.5658
