INFO:root:Description: 迁移学习日志，参数如下
INFO:root:{'source_dataset': 'imagenet', 'target_dataset': 'caltech256', 'domain_label': 'real', 'arch': 'mobilenet_v3_small', 'model_path': '', 'resume': False, 'weight_decay': 0.0005, 'lr': 0.01, 'lr_factor': 0.2, 'bs': 32, 'momentum': 0.9, 'lr_step': 10, 'tensorboard_path': './runs/imagenet_caltech256/mobilenet_v3_small', 'checkpoint_path': './checkpoints/imagenet_caltech256/mobilenet_v3_small', 'checkpoint_save_step': 5, 'log_path': './log/mobilenet_v3_small/imagenet_caltech256/log1.log', 'end_epoch': 180}
INFO:root:Test set: LR: 0.01000000,  Average loss: 0.0880, Accuracy: 0.3823
INFO:root:Test set: LR: 0.00999924,  Average loss: 0.0696, Accuracy: 0.4956
INFO:root:Test set: LR: 0.00999695,  Average loss: 0.0703, Accuracy: 0.4930
INFO:root:Test set: LR: 0.00999315,  Average loss: 0.0581, Accuracy: 0.5718
INFO:root:Test set: LR: 0.00998782,  Average loss: 0.0651, Accuracy: 0.5203
INFO:root:Test set: LR: 0.00998097,  Average loss: 0.0568, Accuracy: 0.5722
INFO:root:Test set: LR: 0.00997261,  Average loss: 0.0604, Accuracy: 0.5522
INFO:root:Test set: LR: 0.00996273,  Average loss: 0.0648, Accuracy: 0.5237
INFO:root:Test set: LR: 0.00995134,  Average loss: 0.0578, Accuracy: 0.5732
INFO:root:Test set: LR: 0.00993844,  Average loss: 0.0597, Accuracy: 0.5586
INFO:root:Test set: LR: 0.00992404,  Average loss: 0.0630, Accuracy: 0.5380
INFO:root:Test set: LR: 0.00990814,  Average loss: 0.0651, Accuracy: 0.5339
INFO:root:Test set: LR: 0.00989074,  Average loss: 0.0583, Accuracy: 0.5762
INFO:root:Test set: LR: 0.00987185,  Average loss: 0.0594, Accuracy: 0.5539
INFO:root:Test set: LR: 0.00985148,  Average loss: 0.0610, Accuracy: 0.5522
INFO:root:Test set: LR: 0.00982963,  Average loss: 0.0619, Accuracy: 0.5485
INFO:root:Test set: LR: 0.00980631,  Average loss: 0.0685, Accuracy: 0.5090
INFO:root:Test set: LR: 0.00978152,  Average loss: 0.0683, Accuracy: 0.5063
INFO:root:Test set: LR: 0.00975528,  Average loss: 0.0643, Accuracy: 0.5289
INFO:root:Test set: LR: 0.00972759,  Average loss: 0.0666, Accuracy: 0.5201
INFO:root:Test set: LR: 0.00969846,  Average loss: 0.0609, Accuracy: 0.5555
INFO:root:Test set: LR: 0.00966790,  Average loss: 0.0641, Accuracy: 0.5360
INFO:root:Test set: LR: 0.00963592,  Average loss: 0.0643, Accuracy: 0.5269
INFO:root:Test set: LR: 0.00960252,  Average loss: 0.0753, Accuracy: 0.4681
INFO:root:Test set: LR: 0.00956773,  Average loss: 0.0709, Accuracy: 0.4961
INFO:root:Test set: LR: 0.00953154,  Average loss: 0.0704, Accuracy: 0.4939
INFO:root:Test set: LR: 0.00949397,  Average loss: 0.0727, Accuracy: 0.4731
INFO:root:Test set: LR: 0.00945503,  Average loss: 0.0697, Accuracy: 0.5030
INFO:root:Test set: LR: 0.00941474,  Average loss: 0.0690, Accuracy: 0.4975
INFO:root:Test set: LR: 0.00937310,  Average loss: 0.0726, Accuracy: 0.4785
INFO:root:Test set: LR: 0.00933013,  Average loss: 0.0717, Accuracy: 0.4873
INFO:root:Test set: LR: 0.00928584,  Average loss: 0.0682, Accuracy: 0.5050
INFO:root:Test set: LR: 0.00924024,  Average loss: 0.0636, Accuracy: 0.5367
INFO:root:Test set: LR: 0.00919335,  Average loss: 0.0727, Accuracy: 0.4812
INFO:root:Test set: LR: 0.00914519,  Average loss: 0.0692, Accuracy: 0.5123
INFO:root:Test set: LR: 0.00909576,  Average loss: 0.0677, Accuracy: 0.5109
INFO:root:Test set: LR: 0.00904508,  Average loss: 0.0684, Accuracy: 0.5047
INFO:root:Test set: LR: 0.00899318,  Average loss: 0.0708, Accuracy: 0.4839
INFO:root:Test set: LR: 0.00894005,  Average loss: 0.0689, Accuracy: 0.5113
INFO:root:Test set: LR: 0.00888573,  Average loss: 0.0725, Accuracy: 0.4860
INFO:root:Test set: LR: 0.00883022,  Average loss: 0.0729, Accuracy: 0.4853
INFO:root:Test set: LR: 0.00877355,  Average loss: 0.0731, Accuracy: 0.4792
INFO:root:Test set: LR: 0.00871572,  Average loss: 0.0722, Accuracy: 0.4911
INFO:root:Test set: LR: 0.00865677,  Average loss: 0.0683, Accuracy: 0.5205
INFO:root:Test set: LR: 0.00859670,  Average loss: 0.0699, Accuracy: 0.4992
INFO:root:Test set: LR: 0.00853553,  Average loss: 0.0712, Accuracy: 0.4924
INFO:root:Test set: LR: 0.00847329,  Average loss: 0.0699, Accuracy: 0.5039
INFO:root:Test set: LR: 0.00840999,  Average loss: 0.0666, Accuracy: 0.5249
INFO:root:Test set: LR: 0.00834565,  Average loss: 0.0730, Accuracy: 0.4970
