INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'resnet50', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/resnet50', 'checkpoint_path': './checkpoints/domainnet/real/resnet50', 'checkpoint_save_step': 5, 'log_path': './log/resnet50/domainnet/real/log1.log', 'end_epoch': 300, 'gpu_id': '1'}
INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'resnet50', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/resnet50', 'checkpoint_path': './checkpoints/domainnet/real/resnet50', 'checkpoint_save_step': 5, 'log_path': './log/resnet50/domainnet/real/log1.log', 'end_epoch': 300, 'gpu_id': '1'}
INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'resnet50', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/resnet50', 'checkpoint_path': './checkpoints/domainnet/real/resnet50', 'checkpoint_save_step': 5, 'log_path': './log/resnet50/domainnet/real/log1.log', 'end_epoch': 300, 'gpu_id': '1'}
INFO:root:Test set: LR: 0.01000000,  Average loss: 0.1921, Accuracy: 0.1843
INFO:root:Test set: LR: 0.00999973,  Average loss: 0.2024, Accuracy: 0.1906
INFO:root:Test set: LR: 0.00999561,  Average loss: 0.1680, Accuracy: 0.2795
INFO:root:Test set: LR: 0.00999315,  Average loss: 0.1603, Accuracy: 0.3148
INFO:root:Test set: LR: 0.00999013,  Average loss: 0.1463, Accuracy: 0.3639
INFO:root:Test set: LR: 0.00998657,  Average loss: 0.1391, Accuracy: 0.3942
INFO:root:Test set: LR: 0.00998246,  Average loss: 0.1417, Accuracy: 0.4113
INFO:root:Test set: LR: 0.00997781,  Average loss: 0.1343, Accuracy: 0.4272
INFO:root:Test set: LR: 0.00997261,  Average loss: 0.1283, Accuracy: 0.4457
INFO:root:Test set: LR: 0.00996686,  Average loss: 0.1193, Accuracy: 0.4891
INFO:root:Test set: LR: 0.00996057,  Average loss: 0.1203, Accuracy: 0.4876
INFO:root:Test set: LR: 0.00995374,  Average loss: 0.1083, Accuracy: 0.5306
INFO:root:Test set: LR: 0.00994636,  Average loss: 0.1051, Accuracy: 0.5356
INFO:root:Test set: LR: 0.00993844,  Average loss: 0.1032, Accuracy: 0.5483
INFO:root:Test set: LR: 0.00992998,  Average loss: 0.0996, Accuracy: 0.5556
INFO:root:Test set: LR: 0.00992098,  Average loss: 0.1023, Accuracy: 0.5465
INFO:root:Test set: LR: 0.00991144,  Average loss: 0.0994, Accuracy: 0.5818
INFO:root:Test set: LR: 0.00990136,  Average loss: 0.0900, Accuracy: 0.6148
INFO:root:Test set: LR: 0.00989074,  Average loss: 0.0945, Accuracy: 0.5882
