INFO:root:Description: 迁移学习日志，参数如下
INFO:root:{'source_dataset': 'imagenet', 'target_dataset': 'caltech256', 'domain_label': 'real', 'arch': 'resnet50', 'model_path': '', 'resume': False, 'weight_decay': 0.0005, 'lr': 0.01, 'lr_factor': 0.2, 'bs': 32, 'momentum': 0.9, 'lr_step': 10, 'tensorboard_path': './runs/imagenet_caltech256/resnet50', 'checkpoint_path': './checkpoints/imagenet_caltech256/resnet50', 'checkpoint_save_step': 5, 'log_path': './log/resnet50/imagenet_caltech256/log1.log', 'end_epoch': 180}
INFO:root:Test set: LR: 0.01000000,  Average loss: 0.0798, Accuracy: 0.4320
INFO:root:Test set: LR: 0.00999924,  Average loss: 0.0716, Accuracy: 0.4899
INFO:root:Test set: LR: 0.00999695,  Average loss: 0.0637, Accuracy: 0.5447
INFO:root:Test set: LR: 0.00999315,  Average loss: 0.0632, Accuracy: 0.5489
INFO:root:Test set: LR: 0.00998782,  Average loss: 0.0600, Accuracy: 0.5564
INFO:root:Test set: LR: 0.00998097,  Average loss: 0.0539, Accuracy: 0.5944
INFO:root:Test set: LR: 0.00997261,  Average loss: 0.0593, Accuracy: 0.5683
INFO:root:Test set: LR: 0.00996273,  Average loss: 0.0542, Accuracy: 0.6001
INFO:root:Test set: LR: 0.00995134,  Average loss: 0.0526, Accuracy: 0.6140
INFO:root:Test set: LR: 0.00993844,  Average loss: 0.0527, Accuracy: 0.6114
INFO:root:Test set: LR: 0.00992404,  Average loss: 0.0521, Accuracy: 0.6237
INFO:root:Test set: LR: 0.00990814,  Average loss: 0.0521, Accuracy: 0.6191
INFO:root:Test set: LR: 0.00989074,  Average loss: 0.0515, Accuracy: 0.6220
INFO:root:Test set: LR: 0.00987185,  Average loss: 0.0507, Accuracy: 0.6178
INFO:root:Test set: LR: 0.00985148,  Average loss: 0.0499, Accuracy: 0.6365
INFO:root:Test set: LR: 0.00982963,  Average loss: 0.0519, Accuracy: 0.6240
INFO:root:Test set: LR: 0.00980631,  Average loss: 0.0521, Accuracy: 0.6305
INFO:root:Test set: LR: 0.00978152,  Average loss: 0.0511, Accuracy: 0.6285
INFO:root:Test set: LR: 0.00975528,  Average loss: 0.0526, Accuracy: 0.6256
INFO:root:Test set: LR: 0.00972759,  Average loss: 0.0505, Accuracy: 0.6342
INFO:root:Test set: LR: 0.00969846,  Average loss: 0.0543, Accuracy: 0.6117
INFO:root:Test set: LR: 0.00966790,  Average loss: 0.0485, Accuracy: 0.6398
INFO:root:Test set: LR: 0.00963592,  Average loss: 0.0515, Accuracy: 0.6274
INFO:root:Test set: LR: 0.00960252,  Average loss: 0.0519, Accuracy: 0.6166
INFO:root:Test set: LR: 0.00956773,  Average loss: 0.0540, Accuracy: 0.6109
INFO:root:Test set: LR: 0.00953154,  Average loss: 0.0502, Accuracy: 0.6405
INFO:root:Test set: LR: 0.00949397,  Average loss: 0.0491, Accuracy: 0.6432
INFO:root:Test set: LR: 0.00945503,  Average loss: 0.0511, Accuracy: 0.6262
INFO:root:Test set: LR: 0.00941474,  Average loss: 0.0551, Accuracy: 0.6032
INFO:root:Test set: LR: 0.00937310,  Average loss: 0.0533, Accuracy: 0.6206
INFO:root:Test set: LR: 0.00933013,  Average loss: 0.0515, Accuracy: 0.6314
INFO:root:Test set: LR: 0.00928584,  Average loss: 0.0548, Accuracy: 0.6111
INFO:root:Test set: LR: 0.00924024,  Average loss: 0.0481, Accuracy: 0.6513
INFO:root:Test set: LR: 0.00919335,  Average loss: 0.0525, Accuracy: 0.6177
INFO:root:Test set: LR: 0.00914519,  Average loss: 0.0518, Accuracy: 0.6231
INFO:root:Test set: LR: 0.00909576,  Average loss: 0.0526, Accuracy: 0.6219
INFO:root:Test set: LR: 0.00904508,  Average loss: 0.0501, Accuracy: 0.6418
INFO:root:Test set: LR: 0.00899318,  Average loss: 0.0506, Accuracy: 0.6396
INFO:root:Test set: LR: 0.00894005,  Average loss: 0.0495, Accuracy: 0.6489
INFO:root:Test set: LR: 0.00888573,  Average loss: 0.0522, Accuracy: 0.6296
INFO:root:Test set: LR: 0.00883022,  Average loss: 0.0507, Accuracy: 0.6415
INFO:root:Test set: LR: 0.00877355,  Average loss: 0.0509, Accuracy: 0.6330
INFO:root:Test set: LR: 0.00871572,  Average loss: 0.0500, Accuracy: 0.6435
INFO:root:Test set: LR: 0.00865677,  Average loss: 0.0543, Accuracy: 0.6206
INFO:root:Test set: LR: 0.00859670,  Average loss: 0.0507, Accuracy: 0.6435
INFO:root:Test set: LR: 0.00853553,  Average loss: 0.0534, Accuracy: 0.6197
INFO:root:Test set: LR: 0.00847329,  Average loss: 0.0524, Accuracy: 0.6331
INFO:root:Test set: LR: 0.00840999,  Average loss: 0.0485, Accuracy: 0.6527
INFO:root:Test set: LR: 0.00834565,  Average loss: 0.0498, Accuracy: 0.6455
INFO:root:Test set: LR: 0.00828030,  Average loss: 0.0492, Accuracy: 0.6453
INFO:root:Test set: LR: 0.00821394,  Average loss: 0.0500, Accuracy: 0.6359
INFO:root:Test set: LR: 0.00821394,  Average loss: 0.0531, Accuracy: 0.6302
INFO:root:Test set: LR: 0.00814660,  Average loss: 0.0516, Accuracy: 0.6320
INFO:root:Test set: LR: 0.00807831,  Average loss: 0.0501, Accuracy: 0.6467
INFO:root:Test set: LR: 0.00807831,  Average loss: 0.0517, Accuracy: 0.6293
INFO:root:Test set: LR: 0.00800908,  Average loss: 0.0514, Accuracy: 0.6428
INFO:root:Test set: LR: 0.00793893,  Average loss: 0.0598, Accuracy: 0.5882
INFO:root:Test set: LR: 0.00786788,  Average loss: 0.0516, Accuracy: 0.6441
INFO:root:Test set: LR: 0.00779596,  Average loss: 0.0508, Accuracy: 0.6490
INFO:root:Test set: LR: 0.00779596,  Average loss: 0.0515, Accuracy: 0.6390
INFO:root:Test set: LR: 0.00772320,  Average loss: 0.0493, Accuracy: 0.6506
INFO:root:Test set: LR: 0.00772320,  Average loss: 0.0530, Accuracy: 0.6296
INFO:root:Test set: LR: 0.00764960,  Average loss: 0.0528, Accuracy: 0.6370
INFO:root:Test set: LR: 0.00757519,  Average loss: 0.0528, Accuracy: 0.6325
INFO:root:Test set: LR: 0.00750000,  Average loss: 0.0508, Accuracy: 0.6518
INFO:root:Test set: LR: 0.00750000,  Average loss: 0.0506, Accuracy: 0.6496
INFO:root:Test set: LR: 0.00742405,  Average loss: 0.0518, Accuracy: 0.6430
INFO:root:Test set: LR: 0.00734736,  Average loss: 0.0507, Accuracy: 0.6513
INFO:root:Test set: LR: 0.00726995,  Average loss: 0.0502, Accuracy: 0.6516
INFO:root:Test set: LR: 0.00719186,  Average loss: 0.0532, Accuracy: 0.6310
INFO:root:Test set: LR: 0.00711309,  Average loss: 0.0500, Accuracy: 0.6436
INFO:root:Test set: LR: 0.00703368,  Average loss: 0.0522, Accuracy: 0.6435
INFO:root:Test set: LR: 0.00695366,  Average loss: 0.0514, Accuracy: 0.6407
INFO:root:Test set: LR: 0.00687303,  Average loss: 0.0509, Accuracy: 0.6444
INFO:root:Test set: LR: 0.00679184,  Average loss: 0.0496, Accuracy: 0.6504
INFO:root:Test set: LR: 0.00671010,  Average loss: 0.0505, Accuracy: 0.6516
INFO:root:Test set: LR: 0.00662784,  Average loss: 0.0514, Accuracy: 0.6447
INFO:root:Test set: LR: 0.00654508,  Average loss: 0.0498, Accuracy: 0.6521
INFO:root:Test set: LR: 0.00654508,  Average loss: 0.0519, Accuracy: 0.6398
INFO:root:Test set: LR: 0.00646186,  Average loss: 0.0490, Accuracy: 0.6623
INFO:root:Test set: LR: 0.00646186,  Average loss: 0.0510, Accuracy: 0.6478
INFO:root:Test set: LR: 0.00637819,  Average loss: 0.0525, Accuracy: 0.6411
INFO:root:Test set: LR: 0.00629410,  Average loss: 0.0505, Accuracy: 0.6509
INFO:root:Test set: LR: 0.00620961,  Average loss: 0.0512, Accuracy: 0.6549
INFO:root:Test set: LR: 0.00612476,  Average loss: 0.0511, Accuracy: 0.6489
INFO:root:Test set: LR: 0.00603956,  Average loss: 0.0508, Accuracy: 0.6478
INFO:root:Test set: LR: 0.00595404,  Average loss: 0.0514, Accuracy: 0.6535
INFO:root:Test set: LR: 0.00586824,  Average loss: 0.0530, Accuracy: 0.6447
INFO:root:Test set: LR: 0.00578217,  Average loss: 0.0481, Accuracy: 0.6663
INFO:root:Test set: LR: 0.00578217,  Average loss: 0.0507, Accuracy: 0.6533
INFO:root:Test set: LR: 0.00569587,  Average loss: 0.0505, Accuracy: 0.6563
INFO:root:Test set: LR: 0.00560935,  Average loss: 0.0502, Accuracy: 0.6600
INFO:root:Test set: LR: 0.00552264,  Average loss: 0.0495, Accuracy: 0.6597
INFO:root:Test set: LR: 0.00543578,  Average loss: 0.0504, Accuracy: 0.6638
INFO:root:Test set: LR: 0.00534878,  Average loss: 0.0534, Accuracy: 0.6381
INFO:root:Test set: LR: 0.00526168,  Average loss: 0.0497, Accuracy: 0.6671
INFO:root:Test set: LR: 0.00526168,  Average loss: 0.0507, Accuracy: 0.6572
INFO:root:Test set: LR: 0.00517450,  Average loss: 0.0512, Accuracy: 0.6543
INFO:root:Test set: LR: 0.00508726,  Average loss: 0.0484, Accuracy: 0.6677
INFO:root:Test set: LR: 0.00508726,  Average loss: 0.0501, Accuracy: 0.6617
INFO:root:Test set: LR: 0.00500000,  Average loss: 0.0511, Accuracy: 0.6567
INFO:root:Test set: LR: 0.00491274,  Average loss: 0.0493, Accuracy: 0.6620
INFO:root:Test set: LR: 0.00482550,  Average loss: 0.0493, Accuracy: 0.6654
INFO:root:Test set: LR: 0.00473832,  Average loss: 0.0483, Accuracy: 0.6716
INFO:root:Test set: LR: 0.00473832,  Average loss: 0.0493, Accuracy: 0.6618
INFO:root:Test set: LR: 0.00465122,  Average loss: 0.0507, Accuracy: 0.6552
INFO:root:Test set: LR: 0.00456422,  Average loss: 0.0475, Accuracy: 0.6716
INFO:root:Test set: LR: 0.00447736,  Average loss: 0.0481, Accuracy: 0.6717
INFO:root:Test set: LR: 0.00447736,  Average loss: 0.0488, Accuracy: 0.6685
INFO:root:Test set: LR: 0.00439065,  Average loss: 0.0476, Accuracy: 0.6726
INFO:root:Test set: LR: 0.00439065,  Average loss: 0.0486, Accuracy: 0.6739
INFO:root:Test set: LR: 0.00439065,  Average loss: 0.0479, Accuracy: 0.6807
INFO:root:Test set: LR: 0.00439065,  Average loss: 0.0493, Accuracy: 0.6569
INFO:root:Test set: LR: 0.00430413,  Average loss: 0.0511, Accuracy: 0.6543
INFO:root:Test set: LR: 0.00421783,  Average loss: 0.0482, Accuracy: 0.6717
INFO:root:Test set: LR: 0.00413176,  Average loss: 0.0499, Accuracy: 0.6617
INFO:root:Test set: LR: 0.00404596,  Average loss: 0.0486, Accuracy: 0.6726
INFO:root:Test set: LR: 0.00396044,  Average loss: 0.0481, Accuracy: 0.6728
INFO:root:Test set: LR: 0.00387524,  Average loss: 0.0487, Accuracy: 0.6695
INFO:root:Test set: LR: 0.00379039,  Average loss: 0.0483, Accuracy: 0.6756
INFO:root:Test set: LR: 0.00370590,  Average loss: 0.0501, Accuracy: 0.6668
INFO:root:Test set: LR: 0.00362181,  Average loss: 0.0474, Accuracy: 0.6834
INFO:root:Test set: LR: 0.00362181,  Average loss: 0.0485, Accuracy: 0.6746
INFO:root:Test set: LR: 0.00353814,  Average loss: 0.0489, Accuracy: 0.6691
INFO:root:Test set: LR: 0.00345492,  Average loss: 0.0498, Accuracy: 0.6635
INFO:root:Test set: LR: 0.00337216,  Average loss: 0.0483, Accuracy: 0.6726
INFO:root:Test set: LR: 0.00328990,  Average loss: 0.0481, Accuracy: 0.6802
INFO:root:Test set: LR: 0.00320816,  Average loss: 0.0464, Accuracy: 0.6824
INFO:root:Test set: LR: 0.00312697,  Average loss: 0.0468, Accuracy: 0.6808
INFO:root:Test set: LR: 0.00304634,  Average loss: 0.0477, Accuracy: 0.6804
INFO:root:Test set: LR: 0.00296632,  Average loss: 0.0476, Accuracy: 0.6765
INFO:root:Test set: LR: 0.00288691,  Average loss: 0.0470, Accuracy: 0.6836
INFO:root:Test set: LR: 0.00288691,  Average loss: 0.0461, Accuracy: 0.6919
INFO:root:Test set: LR: 0.00288691,  Average loss: 0.0471, Accuracy: 0.6824
INFO:root:Test set: LR: 0.00280814,  Average loss: 0.0471, Accuracy: 0.6901
INFO:root:Test set: LR: 0.00273005,  Average loss: 0.0465, Accuracy: 0.6878
INFO:root:Test set: LR: 0.00265264,  Average loss: 0.0461, Accuracy: 0.6904
