INFO:root:Description: 迁移学习日志，参数如下
INFO:root:{'source_dataset': 'imagenet', 'target_dataset': 'food101', 'domain_label': 'real', 'arch': 'resnet50', 'model_path': '', 'resume': False, 'weight_decay': 0.0005, 'lr': 0.01, 'lr_factor': 0.2, 'bs': 32, 'momentum': 0.9, 'lr_step': 10, 'tensorboard_path': './runs/imagenet_food101/resnet50', 'checkpoint_path': './checkpoints/imagenet_food101/resnet50', 'checkpoint_save_step': 5, 'log_path': './log/resnet50/imagenet_food101/log1.log', 'end_epoch': 180}
INFO:root:Test set: LR: 0.01000000,  Average loss: 0.0712, Accuracy: 0.4261
INFO:root:Test set: LR: 0.00999924,  Average loss: 0.0629, Accuracy: 0.4883
INFO:root:Test set: LR: 0.00999695,  Average loss: 0.0580, Accuracy: 0.5248
INFO:root:Test set: LR: 0.00999315,  Average loss: 0.0522, Accuracy: 0.5651
INFO:root:Test set: LR: 0.00998782,  Average loss: 0.0511, Accuracy: 0.5743
INFO:root:Test set: LR: 0.00998097,  Average loss: 0.0500, Accuracy: 0.5806
INFO:root:Test set: LR: 0.00997261,  Average loss: 0.0515, Accuracy: 0.5707
INFO:root:Test set: LR: 0.00996273,  Average loss: 0.0513, Accuracy: 0.5710
INFO:root:Test set: LR: 0.00995134,  Average loss: 0.0517, Accuracy: 0.5717
INFO:root:Test set: LR: 0.00993844,  Average loss: 0.0502, Accuracy: 0.5756
INFO:root:Test set: LR: 0.00992404,  Average loss: 0.0462, Accuracy: 0.6098
INFO:root:Test set: LR: 0.00990814,  Average loss: 0.0597, Accuracy: 0.5152
INFO:root:Test set: LR: 0.00989074,  Average loss: 0.0481, Accuracy: 0.5996
INFO:root:Test set: LR: 0.00987185,  Average loss: 0.0463, Accuracy: 0.6126
INFO:root:Test set: LR: 0.00985148,  Average loss: 0.0471, Accuracy: 0.6015
INFO:root:Test set: LR: 0.00982963,  Average loss: 0.0445, Accuracy: 0.6236
INFO:root:Test set: LR: 0.00980631,  Average loss: 0.0469, Accuracy: 0.6058
INFO:root:Test set: LR: 0.00978152,  Average loss: 0.0436, Accuracy: 0.6301
INFO:root:Test set: LR: 0.00975528,  Average loss: 0.0460, Accuracy: 0.6119
INFO:root:Test set: LR: 0.00972759,  Average loss: 0.0442, Accuracy: 0.6270
INFO:root:Test set: LR: 0.00969846,  Average loss: 0.0439, Accuracy: 0.6320
INFO:root:Test set: LR: 0.00966790,  Average loss: 0.0460, Accuracy: 0.6135
INFO:root:Test set: LR: 0.00963592,  Average loss: 0.0503, Accuracy: 0.5766
INFO:root:Test set: LR: 0.00960252,  Average loss: 0.0491, Accuracy: 0.5901
INFO:root:Test set: LR: 0.00956773,  Average loss: 0.0433, Accuracy: 0.6347
INFO:root:Test set: LR: 0.00953154,  Average loss: 0.0489, Accuracy: 0.5921
INFO:root:Test set: LR: 0.00949397,  Average loss: 0.0458, Accuracy: 0.6142
INFO:root:Test set: LR: 0.00945503,  Average loss: 0.0462, Accuracy: 0.6143
INFO:root:Test set: LR: 0.00941474,  Average loss: 0.0481, Accuracy: 0.6004
INFO:root:Test set: LR: 0.00937310,  Average loss: 0.0460, Accuracy: 0.6165
INFO:root:Test set: LR: 0.00933013,  Average loss: 0.0442, Accuracy: 0.6253
INFO:root:Test set: LR: 0.00928584,  Average loss: 0.0418, Accuracy: 0.6457
INFO:root:Test set: LR: 0.00924024,  Average loss: 0.0477, Accuracy: 0.6033
INFO:root:Test set: LR: 0.00919335,  Average loss: 0.0493, Accuracy: 0.5895
INFO:root:Test set: LR: 0.00914519,  Average loss: 0.0443, Accuracy: 0.6278
INFO:root:Test set: LR: 0.00909576,  Average loss: 0.0443, Accuracy: 0.6297
INFO:root:Test set: LR: 0.00904508,  Average loss: 0.0451, Accuracy: 0.6205
INFO:root:Test set: LR: 0.00899318,  Average loss: 0.0435, Accuracy: 0.6339
INFO:root:Test set: LR: 0.00894005,  Average loss: 0.0452, Accuracy: 0.6221
INFO:root:Test set: LR: 0.00888573,  Average loss: 0.0423, Accuracy: 0.6382
INFO:root:Test set: LR: 0.00883022,  Average loss: 0.0452, Accuracy: 0.6229
INFO:root:Test set: LR: 0.00877355,  Average loss: 0.0433, Accuracy: 0.6359
INFO:root:Test set: LR: 0.00871572,  Average loss: 0.0474, Accuracy: 0.6048
INFO:root:Test set: LR: 0.00865677,  Average loss: 0.0444, Accuracy: 0.6266
INFO:root:Test set: LR: 0.00859670,  Average loss: 0.0484, Accuracy: 0.5977
INFO:root:Test set: LR: 0.00853553,  Average loss: 0.0428, Accuracy: 0.6418
INFO:root:Test set: LR: 0.00847329,  Average loss: 0.0434, Accuracy: 0.6389
INFO:root:Test set: LR: 0.00840999,  Average loss: 0.0426, Accuracy: 0.6439
INFO:root:Test set: LR: 0.00834565,  Average loss: 0.0425, Accuracy: 0.6414
INFO:root:Test set: LR: 0.00828030,  Average loss: 0.0433, Accuracy: 0.6331
INFO:root:Test set: LR: 0.00821394,  Average loss: 0.0434, Accuracy: 0.6333
INFO:root:Test set: LR: 0.00821394,  Average loss: 0.0393, Accuracy: 0.6648
INFO:root:Test set: LR: 0.00821394,  Average loss: 0.0399, Accuracy: 0.6596
INFO:root:Test set: LR: 0.00814660,  Average loss: 0.0430, Accuracy: 0.6400
INFO:root:Test set: LR: 0.00807831,  Average loss: 0.0416, Accuracy: 0.6512
INFO:root:Test set: LR: 0.00800908,  Average loss: 0.0388, Accuracy: 0.6706
INFO:root:Test set: LR: 0.00800908,  Average loss: 0.0401, Accuracy: 0.6578
INFO:root:Test set: LR: 0.00793893,  Average loss: 0.0431, Accuracy: 0.6373
INFO:root:Test set: LR: 0.00786788,  Average loss: 0.0398, Accuracy: 0.6630
