INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'vgg16', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/vgg16', 'checkpoint_path': './checkpoints/domainnet/real/vgg16', 'checkpoint_save_step': 5, 'log_path': './log/vgg16/domainnet/real/log1.log', 'end_epoch': 300, 'gpu_id': '0'}
INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'vgg16', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/vgg16', 'checkpoint_path': './checkpoints/domainnet/real/vgg16', 'checkpoint_save_step': 5, 'log_path': './log/vgg16/domainnet/real/log1.log', 'end_epoch': 300, 'gpu_id': '0'}
INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'vgg16', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/vgg16', 'checkpoint_path': './checkpoints/domainnet/real/vgg16', 'checkpoint_save_step': 5, 'log_path': './log/vgg16/domainnet/real/log1.log', 'end_epoch': 300, 'gpu_id': '0'}
INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'vgg16', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/vgg16', 'checkpoint_path': './checkpoints/domainnet/real/vgg16', 'checkpoint_save_step': 5, 'log_path': './log/vgg16/domainnet/real/log1.log', 'end_epoch': 300, 'gpu_id': '0'}
INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'vgg16', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/vgg16', 'checkpoint_path': './checkpoints/domainnet/real/vgg16', 'checkpoint_save_step': 5, 'log_path': './log/vgg16/domainnet/real/log1.log', 'end_epoch': 300, 'gpu_id': '0'}
INFO:root:Test set: LR: 0.01000000,  Average loss: 0.2069, Accuracy: 0.1116
INFO:root:Test set: LR: 0.00999973,  Average loss: 0.1914, Accuracy: 0.1571
INFO:root:Test set: LR: 0.00999890,  Average loss: 0.1820, Accuracy: 0.2058
INFO:root:Test set: LR: 0.00999753,  Average loss: 0.1734, Accuracy: 0.2315
INFO:root:Test set: LR: 0.00999561,  Average loss: 0.1687, Accuracy: 0.2541
INFO:root:Test set: LR: 0.00999315,  Average loss: 0.1604, Accuracy: 0.2954
INFO:root:Test set: LR: 0.00999013,  Average loss: 0.1635, Accuracy: 0.2915
INFO:root:Test set: LR: 0.00998657,  Average loss: 0.1570, Accuracy: 0.3185
INFO:root:Test set: LR: 0.00998246,  Average loss: 0.1476, Accuracy: 0.3503
INFO:root:Test set: LR: 0.00997781,  Average loss: 0.1489, Accuracy: 0.3536
INFO:root:Test set: LR: 0.00997261,  Average loss: 0.1356, Accuracy: 0.4065
INFO:root:Test set: LR: 0.00996686,  Average loss: 0.1344, Accuracy: 0.4162
INFO:root:Test set: LR: 0.00996057,  Average loss: 0.1229, Accuracy: 0.4531
INFO:root:Test set: LR: 0.00995374,  Average loss: 0.1235, Accuracy: 0.4642
INFO:root:Test set: LR: 0.00994636,  Average loss: 0.1217, Accuracy: 0.4698
INFO:root:Test set: LR: 0.00993844,  Average loss: 0.1187, Accuracy: 0.4742
INFO:root:Test set: LR: 0.00992998,  Average loss: 0.1150, Accuracy: 0.4855
INFO:root:Test set: LR: 0.00992098,  Average loss: 0.1068, Accuracy: 0.5312
INFO:root:Test set: LR: 0.00991144,  Average loss: 0.1049, Accuracy: 0.5361
INFO:root:Test set: LR: 0.00990136,  Average loss: 0.1040, Accuracy: 0.5484
INFO:root:Test set: LR: 0.00989074,  Average loss: 0.1009, Accuracy: 0.5568
INFO:root:Test set: LR: 0.00987958,  Average loss: 0.1040, Accuracy: 0.5456
INFO:root:Test set: LR: 0.00986789,  Average loss: 0.1036, Accuracy: 0.5473
INFO:root:Test set: LR: 0.00985567,  Average loss: 0.1011, Accuracy: 0.5533
INFO:root:Test set: LR: 0.00984292,  Average loss: 0.0966, Accuracy: 0.5782
INFO:root:Test set: LR: 0.00982963,  Average loss: 0.0929, Accuracy: 0.5948
INFO:root:Test set: LR: 0.00981581,  Average loss: 0.0978, Accuracy: 0.5840
INFO:root:Test set: LR: 0.00980147,  Average loss: 0.0846, Accuracy: 0.6238
INFO:root:Test set: LR: 0.00978660,  Average loss: 0.1032, Accuracy: 0.5597
INFO:root:Test set: LR: 0.00977120,  Average loss: 0.0844, Accuracy: 0.6289
