INFO:root:Description: 迁移学习日志，参数如下
INFO:root:{'source_dataset': 'imagenet', 'target_dataset': 'caltech256', 'domain_label': 'real', 'arch': 'vgg16', 'model_path': '', 'resume': False, 'weight_decay': 0.0005, 'lr': 0.01, 'lr_factor': 0.2, 'bs': 32, 'momentum': 0.9, 'lr_step': 10, 'tensorboard_path': './runs/imagenet_caltech256/vgg16', 'checkpoint_path': './checkpoints/imagenet_caltech256/vgg16', 'checkpoint_save_step': 5, 'log_path': './log/vgg16/imagenet_caltech256/log1.log', 'end_epoch': 180}
INFO:root:Test set: LR: 0.01000000,  Average loss: 0.0762, Accuracy: 0.4457
INFO:root:Test set: LR: 0.00999924,  Average loss: 0.0675, Accuracy: 0.5103
INFO:root:Test set: LR: 0.00999695,  Average loss: 0.0650, Accuracy: 0.5303
INFO:root:Test set: LR: 0.00999315,  Average loss: 0.0593, Accuracy: 0.5732
INFO:root:Test set: LR: 0.00998782,  Average loss: 0.0594, Accuracy: 0.5638
INFO:root:Test set: LR: 0.00998097,  Average loss: 0.0567, Accuracy: 0.5877
INFO:root:Test set: LR: 0.00997261,  Average loss: 0.0550, Accuracy: 0.6038
INFO:root:Test set: LR: 0.00996273,  Average loss: 0.0535, Accuracy: 0.6012
INFO:root:Test set: LR: 0.00995134,  Average loss: 0.0535, Accuracy: 0.6160
INFO:root:Test set: LR: 0.00993844,  Average loss: 0.0581, Accuracy: 0.5806
INFO:root:Test set: LR: 0.00992404,  Average loss: 0.0559, Accuracy: 0.6012
INFO:root:Test set: LR: 0.00990814,  Average loss: 0.0518, Accuracy: 0.6254
INFO:root:Test set: LR: 0.00989074,  Average loss: 0.0545, Accuracy: 0.6109
INFO:root:Test set: LR: 0.00987185,  Average loss: 0.0542, Accuracy: 0.6171
INFO:root:Test set: LR: 0.00985148,  Average loss: 0.0538, Accuracy: 0.6148
INFO:root:Test set: LR: 0.00982963,  Average loss: 0.0515, Accuracy: 0.6271
INFO:root:Test set: LR: 0.00980631,  Average loss: 0.0510, Accuracy: 0.6248
INFO:root:Test set: LR: 0.00978152,  Average loss: 0.0562, Accuracy: 0.6152
INFO:root:Test set: LR: 0.00975528,  Average loss: 0.0563, Accuracy: 0.6070
INFO:root:Test set: LR: 0.00972759,  Average loss: 0.0513, Accuracy: 0.6384
INFO:root:Test set: LR: 0.00969846,  Average loss: 0.0484, Accuracy: 0.6591
INFO:root:Test set: LR: 0.00966790,  Average loss: 0.0534, Accuracy: 0.6215
INFO:root:Test set: LR: 0.00963592,  Average loss: 0.0516, Accuracy: 0.6334
INFO:root:Test set: LR: 0.00960252,  Average loss: 0.0508, Accuracy: 0.6379
INFO:root:Test set: LR: 0.00956773,  Average loss: 0.0513, Accuracy: 0.6330
INFO:root:Test set: LR: 0.00953154,  Average loss: 0.0520, Accuracy: 0.6320
INFO:root:Test set: LR: 0.00949397,  Average loss: 0.0528, Accuracy: 0.6364
INFO:root:Test set: LR: 0.00945503,  Average loss: 0.0539, Accuracy: 0.6251
INFO:root:Test set: LR: 0.00941474,  Average loss: 0.0492, Accuracy: 0.6516
INFO:root:Test set: LR: 0.00937310,  Average loss: 0.0510, Accuracy: 0.6376
INFO:root:Test set: LR: 0.00933013,  Average loss: 0.0505, Accuracy: 0.6447
INFO:root:Test set: LR: 0.00928584,  Average loss: 0.0493, Accuracy: 0.6532
INFO:root:Test set: LR: 0.00924024,  Average loss: 0.0535, Accuracy: 0.6234
INFO:root:Test set: LR: 0.00919335,  Average loss: 0.0498, Accuracy: 0.6537
INFO:root:Test set: LR: 0.00914519,  Average loss: 0.0502, Accuracy: 0.6521
INFO:root:Test set: LR: 0.00909576,  Average loss: 0.0533, Accuracy: 0.6269
INFO:root:Test set: LR: 0.00904508,  Average loss: 0.0509, Accuracy: 0.6391
INFO:root:Test set: LR: 0.00899318,  Average loss: 0.0496, Accuracy: 0.6553
INFO:root:Test set: LR: 0.00894005,  Average loss: 0.0507, Accuracy: 0.6482
INFO:root:Test set: LR: 0.00888573,  Average loss: 0.0519, Accuracy: 0.6459
INFO:root:Test set: LR: 0.00883022,  Average loss: 0.0528, Accuracy: 0.6419
