INFO:root:Description: 迁移学习日志，参数如下
INFO:root:{'source_dataset': 'imagenet', 'target_dataset': 'food101', 'domain_label': 'real', 'arch': 'vgg16', 'model_path': '', 'resume': False, 'weight_decay': 0.0005, 'lr': 0.01, 'lr_factor': 0.2, 'bs': 32, 'momentum': 0.9, 'lr_step': 10, 'tensorboard_path': './runs/imagenet_food101/vgg16', 'checkpoint_path': './checkpoints/imagenet_food101/vgg16', 'checkpoint_save_step': 5, 'log_path': './log/vgg16/imagenet_food101/log1.log', 'end_epoch': 180}
INFO:root:Test set: LR: 0.01000000,  Average loss: 0.0688, Accuracy: 0.4504
INFO:root:Test set: LR: 0.00999924,  Average loss: 0.0622, Accuracy: 0.4922
INFO:root:Test set: LR: 0.00999695,  Average loss: 0.0546, Accuracy: 0.5535
INFO:root:Test set: LR: 0.00999315,  Average loss: 0.0538, Accuracy: 0.5577
INFO:root:Test set: LR: 0.00998782,  Average loss: 0.0544, Accuracy: 0.5580
INFO:root:Test set: LR: 0.00998097,  Average loss: 0.0567, Accuracy: 0.5490
INFO:root:Test set: LR: 0.00997261,  Average loss: 0.0497, Accuracy: 0.5913
INFO:root:Test set: LR: 0.00996273,  Average loss: 0.0575, Accuracy: 0.5451
INFO:root:Test set: LR: 0.00995134,  Average loss: 0.0477, Accuracy: 0.6099
INFO:root:Test set: LR: 0.00993844,  Average loss: 0.0485, Accuracy: 0.6022
INFO:root:Test set: LR: 0.00992404,  Average loss: 0.0477, Accuracy: 0.6123
INFO:root:Test set: LR: 0.00990814,  Average loss: 0.0461, Accuracy: 0.6226
INFO:root:Test set: LR: 0.00989074,  Average loss: 0.0484, Accuracy: 0.6077
INFO:root:Test set: LR: 0.00987185,  Average loss: 0.0533, Accuracy: 0.5851
INFO:root:Test set: LR: 0.00985148,  Average loss: 0.0522, Accuracy: 0.5849
INFO:root:Test set: LR: 0.00982963,  Average loss: 0.0427, Accuracy: 0.6491
INFO:root:Test set: LR: 0.00980631,  Average loss: 0.0461, Accuracy: 0.6200
INFO:root:Test set: LR: 0.00978152,  Average loss: 0.0437, Accuracy: 0.6410
INFO:root:Test set: LR: 0.00975528,  Average loss: 0.0478, Accuracy: 0.6109
INFO:root:Test set: LR: 0.00972759,  Average loss: 0.0465, Accuracy: 0.6214
INFO:root:Test set: LR: 0.00969846,  Average loss: 0.0442, Accuracy: 0.6349
INFO:root:Test set: LR: 0.00966790,  Average loss: 0.0465, Accuracy: 0.6302
INFO:root:Test set: LR: 0.00963592,  Average loss: 0.0435, Accuracy: 0.6511
INFO:root:Test set: LR: 0.00960252,  Average loss: 0.0485, Accuracy: 0.6148
INFO:root:Test set: LR: 0.00956773,  Average loss: 0.0461, Accuracy: 0.6248
INFO:root:Test set: LR: 0.00953154,  Average loss: 0.0450, Accuracy: 0.6340
INFO:root:Test set: LR: 0.00949397,  Average loss: 0.0419, Accuracy: 0.6544
INFO:root:Test set: LR: 0.00945503,  Average loss: 0.0443, Accuracy: 0.6378
INFO:root:Test set: LR: 0.00941474,  Average loss: 0.0434, Accuracy: 0.6416
INFO:root:Test set: LR: 0.00937310,  Average loss: 0.0417, Accuracy: 0.6606
INFO:root:Test set: LR: 0.00933013,  Average loss: 0.0468, Accuracy: 0.6243
INFO:root:Test set: LR: 0.00928584,  Average loss: 0.0437, Accuracy: 0.6461
INFO:root:Test set: LR: 0.00924024,  Average loss: 0.0449, Accuracy: 0.6406
INFO:root:Test set: LR: 0.00919335,  Average loss: 0.0439, Accuracy: 0.6444
INFO:root:Test set: LR: 0.00914519,  Average loss: 0.0431, Accuracy: 0.6518
INFO:root:Test set: LR: 0.00909576,  Average loss: 0.0438, Accuracy: 0.6440
